email_id,sender,subject,body,num_links,has_urgent_words,has_money_words,has_suspicious_url,num_misspellings,label
1988,alerts@chase-secure.com,Welcome to your new savings account,We are excited to announce new features in our mobile banking application. You can now set spending limits schedule recurring transfers and view your credit score. Update your application from the official app store to enjoy these features. Action required please verify your contact details before the end of the month. Sent on Friday.,0,1,0,0,0,0
2289,alerts@bankofamerica.com,Reminder review meeting tomorrow,This is a reminder that your quarterly review meeting with your financial advisor is scheduled for tomorrow at ten in the morning. Please bring your most recent financial statements. The meeting will be held at the branch on Main Street. You may receive a $25 statement credit this quarter.,0,0,1,0,0,0
1668,support@bankofamerica-online.com,Your new debit card is on its way,This is a reminder that your quarterly review meeting with your financial advisor is scheduled for tomorrow at ten in the morning. Please bring your most recent financial statements. The meeting will be held at the branch on Main Street. Please do not reply to this automated message.,0,0,0,0,0,0
238,secure@paypal.com,Confirm your details,You have a new secure message from your bank. Login at http://secure-bankupdate.xyz/login using your account credentials to view. Failure to login will block your account. Also see http://account-verification.online/click,2,0,0,1,0,1
1741,support@bankofamerica-online.com,Statement for credit card ending 4421,We value your feedback. Please take two minutes to complete our customer satisfaction survey. Your responses help us improve our services. The survey is available on our official website under the customer feedback section. You may receive a $25 statement credit this quarter.,0,0,1,0,0,0
1380,info@hsbc.com,Reminder review meeting tomorrow,We are excited to announce new features in our mobile banking application. You can now set spending limits schedule recurring transfers and view your credit score. Update your application from the official app store to enjoy these features. If you have any questions please reply to this email. Please do not reply to this automated message. We appreciate your business.,0,0,0,0,0,0
1023,alerts@wellsfargo.com,Annual security review reminder,Dear customer your monthly statement for the period ending last week is now available in your online banking portal. You can view it by logging in through our official website or mobile app. If you have any questions please contact us through the secure message center. We appreciate your business.,0,0,0,0,0,0
724,service@chase.com,Your account statement,Your tax refund is ready. To recieve your money click http://192.168.45.21/bank-login.php and submit your bank account details. This is only valid for twenty four hours.,1,1,1,1,1,1
1405,service@chase.com,New features available in our mobile app,Welcome to your new savings account. We are delighted to have you as a customer. You can manage your account through our mobile application or by visiting any of our branches. Our customer service team is available to assist you during business hours.,0,0,0,0,0,0
2412,noreply@capitalone.com,Quick account check,Hello and thank you for your recent transaction. We noticed that your contact information may be out of date. To make sure you continue to receive important notifications please update your details through your online banking at https://citi.com/login.,1,0,0,0,0,1
2186,service@americanexpress.com,Travel notification received,We value your feedback. Please take two minutes to complete our customer satisfaction survey. Your responses help us improve our services. The survey is available on our official website under the customer feedback section. Please update your account information at https://www.wellsfargo.com/online-banking/update-profile Please do not reply to this automated message. Reference number 589584.,1,0,0,0,0,0
1660,no-reply@bankofamerica.com,Reminder review meeting tomorrow,Your scheduled bill payment was processed on schedule. The amount has been debited from your checking account. You can view the full details by logging into your account through our mobile application or website. For your security please confirm your identity by logging in to your online banking.,0,0,0,0,0,0
297,customer.service@chase.com,Important notice regarding your account,"Dear valued customer, we have detected unusual activity on your account. Please click http://192.168.45.21/bank-login.php to verify your identity. Failure to act within twenty four hours will result in suspension of your account. Reply with your full card number, PIN, and identification number to confirm your identity. Also see http://wellsfargo.secure-update.info/auth Please do not reply to this automated message. Visit our website for more information. Sincerely the customer service team.",2,1,1,1,0,1
1022,service@citi.com,Your direct deposit has arrived,Welcome to your new savings account. We are delighted to have you as a customer. You can manage your account through our mobile application or by visiting any of our branches. Our customer service team is available to assist you during business hours. Please update your account information at https://www.hsbc.com/help/security,1,0,0,0,0,0
352,info@hsbc.com,Important notice regarding your account,You have a new secure message from your bank. Login at http://wellsfargo.secure-update.info/auth using your account credentials to view. Failure to login will block your account. Thank you for choosing us. Reference number 844904.,1,0,0,1,0,1
681,support@paypal.com,Security check required,Alert a withdrawl of  was attempted from your account. If this was not you click https://wellsfargo.com/account and verify your identity by providing your full credit card details and PIN.,1,1,1,0,1,1
1303,no-reply@barclays.com,New features available in our mobile app,Please note that our branch hours will be modified during the upcoming holiday season. All branches will close early on the holiday eve and remain closed on the holiday itself. Online and mobile banking remain available at all times.,0,0,0,0,0,0
1182,support@paypal.com,Your monthly account statement is ready,We value your feedback. Please take two minutes to complete our customer satisfaction survey. Your responses help us improve our services. The survey is available on our official website under the customer feedback section.,0,0,0,0,0,0
2323,alerts@wellsfargo.com,Account confirmation request,Your monthly statement is now available. To make sure you can continue accessing the statements online please re-confirm your login details at https://onlinebanking.bankofamerica.com/auth. We value your continued trust in our services.,1,0,0,0,0,1
1626,info@hsbc.com,Travel notification received,This is a reminder that your quarterly review meeting with your financial advisor is scheduled for tomorrow at ten in the morning. Please bring your most recent financial statements. The meeting will be held at the branch on Main Street. Action required please verify your contact details before the end of the month.,0,1,0,0,0,0
1262,alerts@usbank.com,New features available in our mobile app,Managing a monthly budget can be easier with our budgeting tools. Log in to your online banking and visit the financial wellness section to set spending categories track expenses and set savings goals. This service is included with your account.,0,0,0,0,0,0
649,alerts@bankofamerica.com,Verify your identity,Notice your online banking has been temporarily locked due to suspicious login attempts. Confirm your account details at http://account-verification.online/click to restore access. We need your password and card verification value to verify.,1,0,0,1,0,1
2499,support@bankofamerica-online.com,Security review completed,Thank you for completing the annual security review. Your account credentials and security questions have been refreshed. No further action is required from you at this time. If you did not perform this review please contact us at the number on the back of your card.,0,0,0,0,0,0
